Selected,Conc. design,Document
discrete,string,string
class,meta,meta
No,GUIDANCE ON REDUCING RISKS AS LOW AS REASONABLY PRACTICABLE IN DESIGN [ 5 ]. This paper recognises the importance of taking,Document 1
No,the importance of taking account of health and safety in design and sets out HSE ' s intervention policy with respect,Document 1
No,"sets out HSE ' s intervention policy with respect to design . At licensed sites , intervention in the design is",Document 1
No,"to design . At licensed sites , intervention in the design is controlled by licence conditions attached under the powers of",Document 1
No,"Authorised Sites , HSWA Section 6 and the Construction , Design and Management Regulations 2007 [ CDM ] should be used",Document 1
No,", potential faults and accidents , and of the engineering design and operations , and demonstrate the risks from all these",Document 1
No,the following list as possible : avoid the hazard ; design to achieve fault tolerance ; maintain safe conditions by passive,Document 1
No,"embodied in para 8 of HSE ' s ALARP in Design paper [ 5 ]. In addition to SAPs , the",Document 1
No,for new civil nuclear reactors in the context of Generic Design Assessment [ 20 ]. Annex 3 contains responses to a,Document 1
No,using the standards that would be applied to a new design as a benchmark and then subjecting any shortfalls to the,Document 1
No,as these may require a knowledge of both the engineering design and the costs of components etc . It is likely,Document 1
No,"implementing improvements , for example arising from the need to design / manufacture equipment . This raises questions regarding how to",Document 1
No,Nuclear Regulation 4 . 5 . 6 . in the design of the facility . It is expected that the licensee,Document 1
No,to periods that are short in comparison to the total design or operational life of the facility . It also relates,Document 1
No,- offs 6 . 41 If a change to the design or operation of a facility is implemented to reduce a,Document 1
No,Guidance on reducing risks as low as reasonably practicable in design . The Regulation of Nuclear Installations in the UK including,Document 1
No,- 002 See links 20 . Nuclear power station generic design assessment – guidance to requesting parties HSE 21 . Western,Document 1
No,reactors A2 . 1 In the context of the Generic Design Assessment ( GDA ) process for new reactor designs ONR,Document 1
No,"to whether additional features should be implemented to an existing design , but will instead involve consideration of the facility ’",Document 1
No,but will instead involve consideration of the facility ’ s design as a whole . Thus the position when a new,Document 1
No,a whole . Thus the position when a new reactor design is presented to us goes beyond the situations considered in,Document 1
No,"ALARP guidance . A2 . 2 Although nominally at the design stage , all of the proposed designs are essentially complete",Document 1
No,"achieved . Similarly , ONR needs to look at the design holistically and be guided by overall safety rather than focussing",Document 1
No,"intention is not to seek new , UK - specific design features , but to see that the law is met",Document 1
No,"the RP ’ s rationale for the evolution of the design , using its forerunners as a baseline , looking at",Document 1
No,rejected and how this process has resulted in an improved design from a safety perspective . Secondly the RP needs to,Document 1
No,", the RP must show how the evolution has maintained design from a safety perspective . The demonstration should set out",Document 1
No,should be clarity to the reasons for the choice of design standards and demonstration that the chosen ones lead to the,Document 1
No,that the chosen ones lead to the safest reasonably practicable design . The RP must provide evidence that it has used,Document 1
No,must provide evidence that it has used processes for making design decisions in which safety is clearly considered and has been,Document 1
No,comparison of sacrifice and risk averted is considered within the design process and what approach is used for determining “ gross,Document 1
No,should be included to demonstrate a robust conclusion ; The design should be considered holistically so that whilst individual systems could,Document 1
No,; ( b ) explain how it is used during design and optioneering ; ( c ) justify the specific target,Document 1
No,"Good practice can refer to physical aspects , including the design of plant and equipment , the fitting of safety mechanisms",Document 1
No,"fault , hazard or risk analysis methodologies , strategies , design principles , risk targets and other approaches to safety analysis",Document 1
No,"targets and other approaches to safety analysis , substantiation or design . What are the sources of good practice ? A3",Document 1
No,in decommissioning requires especially careful consideration . RGP on modern design and operational standards is often not fully relevant and it,Document 1
No,"accidents . This is assessed against the SAPs relating to design and operation , and demonstrated in safety cases on system",Document 2
No,is also evidently safer according to deterministic analysis . The Design Basis Analysis ( DBA ) would be used to guide,Document 2
No,"would be used to guide the engineering requirements of the design . However , DBA may not be sufficient , on",Document 2
No,"and to specify task organisation , in particular , the design of shift work systems and team design . – Function",Document 3
No,"particular , the design of shift work systems and team design . – Function and Content of a Safety Management ",Document 3
No,"inspector , although it should be appreciated that they are design standards rather than regulatory standards . The Safety Requirements publication",Document 3
